Media Title,Media Link,Description,Author,Module Category,Media Type,Media Topics Covered,Language
Machine Learning Course from Georgia Tech,https://www.udacity.com/course/machine-learning--ud262,Machine Learning is a graduate-level course covering the area of Artificial Intelligence concerned with computer programs that modify and improve their performance through experiences.,Georgia Tech,Learn & Teach,Course,"Machine Learning,AI",English
Machine Learning Course from mathematicalmonk,https://www.youtube.com/playlist?list=PLD0F06AA0D2E8FFBA,YouTube Machine Learning tutorial from Mathematical Monk.,Mathematical Monk,Learn & Teach,Video,Machine Learning,English
Machine Learning for Kids,https://machinelearningforkids.co.uk/,"A great tool to teach the basics of machine learning to kids via hands-on experiences. Check out this easy-to-use guided environment for training machine learning models to recognize text, numbers, images, or sounds.",Dale Lane,Learn & Teach,"Curriculum,Data Science Challenge / Project","Machine Learning,Data Science Basics",English
Machine Learning in Medicine,https://www.nejm.org/doi/full/10.1056/NEJMra1814259,"In this view of the future of medicine, patient–provider interactions are informed and supported by massive amounts of data from interactions with similar patients.",New England Journal of Medicine,Research & Practice,Article or Journal,"Machine Learning,Public Health",English
Machine Learning with Python,https://www.freecodecamp.org/learn/machine-learning-with-python/,"The Machine Learning course by freeCodeCamp teaches the use of the TensorFlow framework to build machine learning models, including neural networks and exploration of advanced techniques like natural language processing and reinforcement learning.",FreeCodeCamp,Learn & Teach,Course,"Machine Learning,Deep Learning,Python,Natural Language Processing (NLP)",English
Machine Learning with Sebastian Thrun,https://www.udacity.com/course/intro-to-machine-learning--ud120,"This is a class that will teach you the end-to-end process of investigating data through a machine learning lens. It will teach you how to extract and identify useful features that best represent your data, a few of the most important machine learning algorithms, and how to evaluate the performance of your machine learning algorithms.","Katie Malone,Sebastian Thrun",Learn & Teach,Course,Machine Learning,English
Máquinas de Vector Soporte (SVM) con Python,https://www.cienciadedatos.net/documentos/py24-svm-python.html,"Teoría y ejemplos sobre cómo crear modelos de máquinas de vectores de soporte, máquinas de vectores de soporte (SVM) con python",JOAQUÍN AMAT RODRIGO,Research & Practice,"Research Guide,Tutorial","Machine Learning,Python",Spanish
Mathematics Data Science Curriculum Framework ,https://doe.virginia.gov/testing/sol/standards_docs/mathematics/2016/cf/data-science-cf-2022.pdf,"Data Science curriculum framework as desgined by Virginia Commonwealth, Board of Education.","""Virginia Commonwealth, Board of Education""",Learn & Teach,"Presentation,Curriculum","Data Science Basics,Math Fundamentals",English
Matplotlib tutorial,https://github.com/rougier/matplotlib-tutorial,"matplotlib is probably the single most used Python package for 2D-graphics. It provides both a very quick way to visualize data from Python and publication-quality figures in many formats. We are going to explore matplotlib in interactive mode covering most common cases.

",Nicolas P. Rougier,Learn & Teach,Tutorial,Python,English
Mendeley Reference Manager,https://www.mendeley.com/?interaction_required=true,Add papers directly from your browser with a few clicks or import any documents from your desktop.,Mendeley,Network & Explore,Research Guide,Research Tools,English
Meta AI Blog,https://ai.facebook.com/blog/,Keep informed about the latest AI research and insights with Meta's AI blog.,Meta,Research & Practice,"Tutorial,Newsletter",AI,English
"Methods to Simplify Object Tracking in Video Data
",https://arxiv.org/abs/2206.07909,This paper provides general advice to help object tracking algorithms locate an object and simple algorithms to support image processing.,"Chris Orban,Scott Zimmerman,Jessica T. Kulp,Jennifer Broughton,Zach Perrico,Brianna Rapp,Richelle Teeling-Smith",Research & Practice,"Article or Journal,Research Guide",Data Modeling,English
"MetroLab Network Living, Growing COVID-19 Resource Guide",https://metrolabnetwork.org/resource-guide/,MetroLab's COVID-19 resource guide that provides information about the pandemic and additionally provides datasets and resources for exploratory analysis of pandemic data,MetroLab,Learn & Teach,Research Guide,"COVID,Public Health",English
Michigan Institute for Data Science (MIDAS) COVID-19 Data Science Research Webinar Series,https://midas.umich.edu/covid-19-seminars/,Catalog of webinars hosted by Michigan Institute for Data Science (MIDAS) on COVID-19 specific Data Science Research,University of Michigan,Research & Practice,Research Guide,"COVID,Public Health",English
Microsoft and Artificial Intelligence,https://www.microsoft.com/en-us/research/research-area/artificial-intelligence/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13556&sort_by=most-recent,Pursuing computing advances to create intelligent machines that complement human reasoning to augment and enrich our experience and competencies.,Microsoft,Learn & Teach,Tutorial,AI,English
Microsoft and Computer Vision,https://www.microsoft.com/en-us/research/research-area/computer-vision/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13562&sort_by=most-recent,Enabling computers and devices to understand what they see with Microsoft,Microsoft,Learn & Teach,Tutorial,Data Analysis,English
Microsoft and Data Platforms and Analysis,https://www.microsoft.com/en-us/research/research-area/data-platform-analytics/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13563&sort_by=most-recent,"Publications, projects and research groups curated by Microsoft, concentrating on data platforms and analysis",Microsoft,Learn & Teach,Tutorial,Data Analysis,English
Microsoft and Ecology and Environment,https://www.microsoft.com/en-us/research/research-area/ecology-environment/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=198583&sort_by=most-recent,"Publications, projects and research groups curated by Microsoft, concentrating on ecology and environment.",Microsoft,Learn & Teach,Tutorial,Climate Change & Environment,English
Microsoft and Economics,https://www.microsoft.com/en-us/research/research-area/economics/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13548&sort_by=most-recent,"Publications, projects and research groups curated by Microsoft, concentrating on Economics.",Microsoft,Learn & Teach,Tutorial,Public Policy,English
"Microsoft and Hardware, Devices, and Quantum Computing",https://www.microsoft.com/en-us/research/research-area/hardware-devices/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13552&sort_by=most-recent,"Publications, projects and research groups curated by Microsoft, concentrating on hardware devices and quantum computing",Microsoft,Learn & Teach,Tutorial,Quantum Computing,English
Microsoft and Human Language Technologies,https://www.microsoft.com/en-us/research/research-area/human-language-technologies/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13545&sort_by=most-recent,Researching software and systems that bridge the linguistic divide between people and machines to make communicating with computers as natural as speaking with family and friends.,Microsoft,Learn & Teach,Tutorial,"Data Science Basics,Machine Learning,Natural Language Processing (NLP)",English
Microsoft and Human-Computer Interaction,https://www.microsoft.com/en-us/research/research-area/human-computer-interaction/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13554&sort_by=most-recent,"Redefining human experiences through innovations in research, design, and technology.",Microsoft,Learn & Teach,Tutorial,"Data Analysis,Data Science Basics",English
Microsoft and Mathematics,https://www.microsoft.com/en-us/research/research-area/computational-sciences-mathematics/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13546&sort_by=most-recent,Publications and projects curated at Microsoft and concentrating on computational mathematics,Microsoft,Learn & Teach,Tutorial,Math Fundamentals,English
"Microsoft and Medical, Health, and Genomics",https://www.microsoft.com/en-us/research/research-area/medical-health-genomics/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13553&sort_by=most-recent,"Publications, projects and research groups curated by Microsoft, concentrating on Medicine, Health, and Genomics.",Microsoft,Learn & Teach,Tutorial,"Public Health,Public Policy",English
Microsoft and Programming Languages and Software Engineering,https://www.microsoft.com/en-us/research/research-area/programming-languages-software-engineering/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13560&sort_by=most-recent,"Publications, projects and research groups curated by Microsoft, concentrating on programming languages and software engineering",Microsoft,Learn & Teach,Tutorial,Coding,English
Microsoft and Quantum Computing,https://www.microsoft.com/en-us/research/research-area/quantum-computing/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=243138&sort_by=most-recent,"Publications, projects and research groups curated by Microsoft, concentrating on quantum computing",Microsoft,Learn & Teach,Tutorial,Quantum Computing,English
"Microsoft and Security, Privacy, and Cryptography",https://www.microsoft.com/en-us/research/research-area/security-privacy-cryptography/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13558&sort_by=most-recent,"Publications, projects and research groups curated by Microsoft, concentrating on security, privacy and cryptography",Microsoft,Learn & Teach,Tutorial,"Cybersecurity & Privacy,Ethics & Bias",English
Microsoft and Social Sciences,https://www.microsoft.com/en-us/research/research-area/social-sciences/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13559&sort_by=most-recent,"Publications, projects and research groups curated by Microsoft, concentrating on Social Sciences.",Microsoft,Learn & Teach,Tutorial,Data Science Basics,English
Microsoft and Systems and Networking,https://www.microsoft.com/en-us/research/research-area/systems-and-networking/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13547&sort_by=most-recent,"Researching and inventing new technologies for next-generation infrastructures and platforms for sensors, devices and the cloud with Microsoft.",Microsoft,Learn & Teach,Tutorial,Data Science Basics,English
Microsoft and Technology for Emerging Markets,https://www.microsoft.com/en-us/research/research-area/technology-for-emerging-markets/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13568&sort_by=most-recent,"Publications, projects and research groups curated by Microsoft, concentrating on Technology and emerging markets.",Microsoft,Learn & Teach,Tutorial,"Data Science Basics,Public Policy",English
Microsoft Certifications and Exams,https://docs.microsoft.com/en-us/learn/certifications/browse/,Earn certifications that show you are keeping pace with today’s technical roles and requirements. Select from nine job roles’ certification paths and master core concepts at your speed and on your schedule.,Microsoft,Network & Explore,"Certification,Career Resources","Data Science Basics,Data Science Careers",English
Microsoft Datasheets for Datasets,https://www.microsoft.com/en-us/research/publication/datasheets-for-datasets/,"Datasheets for datasets will facilitate better communication between dataset creators and dataset consumers, and encourage the machine learning community to prioritize transparency and accountability.",Microsoft,Research & Practice,Dataset,"Data Science Basics,Machine Learning",English
Microsoft Learn for Power BI,https://docs.microsoft.com/en-us/learn/powerplatform/power-bi,Microsoft's official learning guide to Power BI,Microsoft,Learn & Teach,Tutorial,Power BI,English
Microsoft Open Data Campaign,https://news.microsoft.com/opendata/,"Learn how open data can generate more value and better outcomes; access tools and resources to advance data collaboration, explore projects using over 30 open data repositories and data sharing models for societal benefit, and find links to resources that support open data sharing.",Microsoft,Learn & Teach,"Tutorial,Dataset",Data Analysis,English
Microsoft Open Data Cloud,https://github.com/opendatacloud,An Open Source version of the Microsoft Research Open Data Repository,Microsoft,Research & Practice,Tutorial,Data Science Basics,English
Microsoft Open Data Sets,https://msropendata.com/,"A collection of free datasets from Microsoft Research to advance state-of-the-art research in areas such as natural language processing, computer vision, and domain specific sciences. Download or copy directly to a cloud-based Data Science Virtual Machine for a seamless development experience.",Microsoft,Research & Practice,Dataset,"Data Analysis,Natural Language Processing (NLP)",English
Microsoft Podcasts,https://www.microsoft.com/en-us/research/podcast/,Learn more about Microsoft's current and upcoming Research projects.,Microsoft,Network & Explore,Podcast,Data Science Basics,English
Microsoft Power BI Learning Overview,https://powerbi.microsoft.com/en-us/learning/,Microsoft's official learning guide to Power BI,Microsoft,Learn & Teach,Tutorial,Power BI,English
Microsoft Research,https://www.microsoft.com/en-us/research/,Learn more about Microsoft's current and upcoming Research projects.,Microsoft,Network & Explore,Tutorial,Data Science Basics,English
Microsoft Research and Algorithms,https://www.microsoft.com/en-us/research/research-area/algorithms/?facet%5Btax%5D%5Bmsr-research-area%5D%5B0%5D=13561&sort_by=most-recent,Publications and projects curated at Microsoft and concentrating on algorithms,Microsoft,Learn & Teach,Tutorial,Data Science Basics,English
Microsoft Tools,https://www.microsoft.com/en-us/research/tools/,"An index of datasets, SDKs, APIs and other open source code created by Microsoft researchers and shared with the broader academic community. We also maintain a collection highlighting some of the tools you’ll find here.",Microsoft,Research & Practice,Research Guide,Data Analysis,English
Microsoft Tools and Resources for Teachers and Educators,https://www.microsoft.com/en-us/education/educators,"Create learning environments that empower students to be independent and creative learners and build skills in reading, language, and STEM.",Microsoft,Research & Practice,"Tutorial,Curriculum",Data Science Basics,English
MIT Technology Review,https://www.technologyreview.com/,The MIT newsletter with advances in technology ,Massachusetts Institute of Technology (MIT),Research & Practice,Newsletter,"AI,Big Data,Coding,Data Science Basics",English
ML Commons – People’s Speech,https://mlcommons.org/en/peoples-speech/,The People’s Speech Dataset is among the world’s largest English speech recognition corpus today that is licensed for academic and commercial usage under CC-BY-SA and CC-BY 4.0.,MLCommons,Research & Practice,Dataset,Machine Learning,English
Model My Watershed,https://wikiwatershed.org/model/,"Model My Watershed is a watershed-modeling web app that enables citizens, conservation practitioners, municipal decision-makers, educators, and students to analyze real land use and soil data in their neighborhoods and watersheds.",Model My Watershed,Learn & Teach,"Game,Dataset","Water,Data Modeling,Data Science for Good",English
"Model Selection Methods
",https://www.datasciencecentral.com/data-science-simplified-part-6-model-selection-methods/,"In the last article of this series, we had discussed multivariate linear regression model. Fernando creates a model that estimates the price of the car based on five input parameters.",Pradeep Menon,Learn & Teach,Article or Journal,Feature Selection,English
Modern Data Science with R,https://mdsr-book.github.io/mdsr2e/,E-book focusing on teaching basic data science concepts using the R programming language,"Benjamin S. Baumer,Daniel T. Kaplan,Nicholas J. Horton",Learn & Teach,Book,Data Science Basics,English
MongoDB,http://datascience.recursos.uoc.edu/es/mongodb/,MongoDB es un sistema de base de datos NoSQL orientado a documentos.,Universitat Oberta de Catalunya,Research & Practice,Research Guide,"SQL,Database Management",Spanish
Most Cited Deep Learning Papers,https://github.com/terryum/awesome-deep-learning-papers,A curated list of the most cited deep learning papers (2012-2016),"Terry T. Um,Github",Research & Practice,"Article or Journal,Research Guide",Deep Learning,English
Multi-series forecasting con Python y Skforecast,https://www.cienciadedatos.net/documentos/py44-multi-series-forecasting-skforecast-espa%C3%B1ol.html,Modelos de pronóstico para predecir múltiples series de tiempo simultáneamente.,JOAQUÍN AMAT RODRIGO,Research & Practice,Data Science Challenge / Project,"Machine Learning,Python",Spanish
Multipliers: How the Best Leaders Make Everyone Smarter,https://thewisemangroup.com/books/multipliers/,Advance your career and learn how to become a leader who amplifies the capabilities of the people around them,Wiseman Group,Network & Explore,"Book,Career Resources",Data Science Careers,English
Multivariate Gaussian Distributions for Machine Learning and Data Mining,https://www.youtube.com/watch?v=eho8xH3E6mE,Properties of the multivariate Gaussian probability distribution by Alexander Ihler,"Alexander Ihler,""University of California, Irvine""",Learn & Teach,Video,Machine Learning,English
My NASA Data,https://mynasadata.larc.nasa.gov/,"NASA offers petabytes of global Earth science data collected from satellites but accessing these data in a traditional (or virtual) science classroom can be tricky. Since 2004, My NASA Data has supported students and teachers of grades 3-12 in analyzing and interpreting NASA mission data.",National Aeronautics and Space Administration (NASA),Learn & Teach,"Dataset,Curriculum","Data Science Basics,Climate Change & Environment",English
My Study Life,https://www.mystudylife.com/,"The My Study Life online student planner enables you to keep track of all your classes, tasks, assignments and exams - anywhere, on any device.",My Study Life,Learn & Teach,Career Resources,"Data Science Careers,Data Science Basics,Research Tools",English
NASA Data Sciences (DS) Group,https://www.nasa.gov/content/data-sciences,"The Data Sciences (DS) Group is a collaboration of scientists in a variety of fields, including Integrated System Health Management, Aeronautics, Space Exploration, Earth Sciences and Space Sciences. DS conducts fundamental research to create tools and methods that answer pressing scientific questions in the fields of machine learning, knowledge discovery, and other areas, as well as aid in the assimilation and understanding of scientific and engineering data to best advance NASA's missions.",National Aeronautics and Space Administration (NASA),Learn & Teach,"Group,Data Science Challenge / Project","Space,Data Science Careers",English
NASA: Earth Data Pathfinders,https://www.earthdata.nasa.gov/learn/pathfinders,"Data Pathfinders guide users through the process of selecting application-specific datasets and learning how to use them through intuitive tools, facilitating equal and open access to the breadth of NASA Earth science data. The pathfinders are intended to familiarize users with and provide direct links to the applicable, commonly-used datasets across NASA’s Earth science data collections. After getting started here, there are numerous NASA resources that can help develop one’s skills further.",National Aeronautics and Space Administration (NASA),Research & Practice,Research Guide,Climate Change & Environment,English
National Academy of Medicine COVID-19 News and Resources,https://nam.edu/coronavirus-resources/,Coronavirus Disease 2019 (COVID-19) News and Resources from the National Academy of Medicine,National Academy of Medicine (NAM),Research & Practice,Article or Journal,"COVID,Bioinformatics,Public Health",English
National Center for Biotechnology Information (NCBI) Insights,https://ncbiinsights.ncbi.nlm.nih.gov/,"GCC2022 brings together hundreds of researchers, trainers, tool developers, software engineers, and computational infrastructure providers, all addressing common challenges in data intensive science using the Galaxy data integration and analysis platform.",NIH,Research & Practice,Article or Journal,Bioinformatics,English
National COVID Cohort Collaborative (N3C),https://covid.cd2h.org/n3c,"The N3C aims to improve the efficiency and accessibility of analyses with COVID-19 clinical data, expand our ability to analyze and understand COVID, and demonstrate a novel approach for collaborative pandemic data sharing.",National COVID Cohort Collaborative (N3C),Network & Explore,Group,"COVID,Public Health",English
National Geographic Education Resource Library,https://education.nationalgeographic.org/?q=data&page[number]=1&page[size]=25,Explore National Geographic Data Science Projects,National Geographic,Learn & Teach,"Curriculum,Data Science Challenge / Project",Data Science Basics,English
National Science Teaching Association (NTSA) Digging for Data Projects,https://www.nsta.org/science-teacher/science-teacher-mayjune-2021/digging-data,"This article outlines activities that leverage archived geoscience data, and describe design considerations for a new 11th-grade interdisciplinary science course that draw on education research and practice. ",Susan Meabh Kelly,Learn & Teach,Article or Journal,"Climate Change & Environment,Data Science Basics",English
National Society of Black Engineers (NSBE),https://www.nsbe.org/,NSBE supports and promotes the aspirations of collegiate and pre-collegiate students and technical professionals in engineering and technology.,National Society of Black Engineers (NSBE),Network & Explore,Career Resources,"Data Science Careers,Diversity",English
National Student Data Corps (NSDC) Data Science Flashcards Series,https://nebigdatahub.org/category/data-science-flashcards/,The NSDC Data Science Flashcards series will teach you how the data pipeline is developed for data science projects. ,Northeast Big Data Innovation Hub (NEBDHub),Learn & Teach,Video,Data Science Basics,English
Natural Language Toolkit,https://www.nltk.org/,"NLTK is a leading platform for building Python programs to work with human language data. It provides easy-to-use interfaces to over 50 corpora and lexical resources such as WordNet, along with a suite of text processing libraries for classification, tokenization, stemming, tagging, parsing, and semantic reasoning, wrappers for industrial-strength NLP libraries, and an active discussion forum.","Tom Aarsen,Joel Nothman,Steven Bird,Alexis Dimitradis,Danny Sepler,Dmitrijs Milajevs,Francis Bond,Ilia Kurenkov,Purificant,Liling Tan",Learn & Teach,Group,Natural Language Processing (NLP),English
Networking and Information Technology Research and Development Program (NITRD) COVID-19 Guide,https://www.nitrd.gov/coronavirus/,"The White House and key Federal agencies are working alongside Schema.org to help ensure critical resources, such as testing facilities, surface across online search engine results.",Networking and Information Technology Research and Development (NITRD),Learn & Teach,Research Guide,"COVID,Public Health",English
Neural Networks Cheat Sheet,https://ml-cheatsheet.readthedocs.io/en/latest/nn_concepts.html,"Neural networks are a class of machine learning algorithms used to model complex patterns in datasets using multiple hidden layers and non-linear activation functions. A neural network takes an input, passes it through multiple layers of hidden neurons (mini-functions with unique coefficients that must be learned), and outputs a prediction representing the combined input of all the neurons.",Machine Learning Glossary,Learn & Teach,Tutorial,"Machine Learning,Neural Networks",English
Neural Networks Course,https://www.coursera.org/learn/neural-networks-deep-learning,"Neural Networks course by Andrew Ng, part of the Deep Learning specialization on Coursera",Andrew Ng,Learn & Teach,"Course,Video","Machine Learning,Deep Learning",English
NeurON: The Neuroscience Outreach Network ,https://www.neuroscienceoutreach.org/,"NeurON: The Neuroscience Outreach Network, es un esfuerzo de base que se esfuerza por unificar y reforzar los programas locales de divulgación que permiten el acceso a la educación en neurociencia para estudiantes de k-12 en comunidades desatendidas.",NeurON,Network & Explore,Career Resources,Data Science Careers,Spanish
New York Times COVID-19 Data,https://www.nytimes.com/interactive/2021/us/covid-cases.html,"The New York Times dashboard reflects coronavirus cases in the U.S., including maps and case counts, insights on hospitalization, state trends. ",The New York Times,Research & Practice,"Dataset,Article or Journal","COVID,Data Visualization",English
New Zealand COVID-19 Research Database,https://www.mbie.govt.nz/science-and-technology/science-and-innovation/research-and-data/nzris/covid-19-research-database/,"In response to COVID-19, New Zealand’s research, science and innovation sector is undertaking research activity and building a database.","""Ministry of Business, Innovation & Employment, Hikina Whakatutuki""",Research & Practice,Dataset,"COVID,Public Health",English
Nextstrain,https://nextstrain.org/,Leverage the Nextstrain project to identify the use of data science tools and techniques in pathogen genome research.,NextStrain,Research & Practice,Dataset,Public Health,English
NIH COVID-19 Datasets,https://datascience.nih.gov/covid-19-open-access-resources,"COVID-19 open-access data and computational resources are being provided by federal agencies, including NIH, public consortia, and private entities. These resources are freely available to researchers, and this page will be updated as more information becomes available. ",NIH,Research & Practice,Dataset,"COVID,Public Health",English
NIH COVID-19 Resources,https://www.nih.gov/coronavirus,NIH funds research on converging health threats in communities across the U.S. and around the world.,NIH,Research & Practice,"Dataset,Research Guide","Public Health,COVID",English
"NIH Fogarty International Center News, Funding, and Resources",https://www.fic.nih.gov/ResearchTopics/Pages/infectiousdiseases-coronavirus-cov.aspx,"The National Institute of Allergy and Infectious Diseases (NIAID) leads NIH COVID-19 clinical research, and research to develop therapeutics and vaccines for coronaviruses.",NIH,Research & Practice,Article or Journal,Public Health,English
NIH LitCovid COVID-19 Literature Hub,https://www.ncbi.nlm.nih.gov/research/coronavirus/,"LitCovid is the most comprehensive resource on the subject, providing a central access to 305,083 (and growing) relevant articles in PubMed. The articles are updated daily and are further categorized by different research topics (e.g. transmission) and geographic locations.",NIH,Research & Practice,Article or Journal,"COVID,Public Health",English
NIH Open-Access Data and Computational Resources to Address COVID-19,https://datascience.nih.gov/covid-19-open-access-resources,"COVID-19 open-access data and computational resources are being provided by federal agencies, including NIH, public consortia, and private entities. ",NIH,Research & Practice,Dataset,"COVID,Public Health",English
NIH: COVID-19 Clinical Trials,https://clinicaltrials.gov/ct2/results?cond=COVID-19,Recruitment portal for participating in clinical trials for COVID-19.,NIH,Research & Practice,"Dataset,Data Science Challenge / Project","COVID,Public Health",English
NIH: iSearch COVID-19 Portfolio,https://icite.od.nih.gov/covid19/search/,"The iSearch COVID-19 portfolio is NIH’s comprehensive, expert-curated source for publications and preprints related to either COVID-19 or the novel coronavirus SARS-CoV-2. ",NIH,Research & Practice,Dataset,"COVID,Public Health",English
NIH: National Center for Biotechnology Information (NCBI) SARS-CoV-2 Resources,https://www.ncbi.nlm.nih.gov/sars-cov-2/,A comprehensive collection of text-based literature including articles brought together by NIH on the COVID-19 virus.,NIH,Research & Practice,Dataset,"COVID,Bioinformatics",English
NIH: National Library of Medicine (NLM) Value Set Authority Center (VSAC) COVID-19 Value Sets,https://www.nlm.nih.gov/vsac/support/usingvsac/covid19valuesets.html,View and download COVID-19 Value Sets authored and maintained by external subject matter experts hosted by NIH.,NIH,Research & Practice,Dataset,"COVID,Public Health",English
NIH: SARS-CoV-2 GenBank Data,"https://www.ncbi.nlm.nih.gov/labs/virus/vssi/#/virus?SeqType_s=Nucleotide&VirusLineage_ss=SARS-CoV-2,%20taxid:2697049","NCBI Virus is an integrative, value-added resource designed to support retrieval, display and analysis of a curated collection of virus sequences and large sequence datasets.",NIH,Research & Practice,Dataset,"COVID,Public Health",English
NLP Interview Questions,https://medium.com/modern-nlp/nlp-interview-questions-f062040f32f7,Learn how to practice interview questions on Natural Language Processing,Pratik Bhavsar,Learn & Teach,Article or Journal,Natural Language Processing (NLP),English
No Experience? Here is How To Get Your First Data Science Job,https://towardsdatascience.com/no-experience-here-is-how-to-get-your-first-data-science-job-6c959bcfaf06,Learn how to break into a career in Data Science with this article from Sharan Kumar Ravindran.,"Sharan Kumar,Towards Data Science",Network & Explore,"Article or Journal,Career Resources",Data Science Careers,English
Nonprofit Resources List: #NPCOVID19,https://radishlab.cmail20.com/t/t-l-nhkkrky-qdutjguh-j/,"List of non-profits active through the pandemic, as well as links to datasets and other pandemic-era resources",Radish Lab,Research & Practice,Research Guide,"COVID,Public Health",English
Notes On Using Data Science & Machine Learning to Fight For Things That Matter,https://chrisalbon.com/,"Learn how to use data science and machine learning for causes that espouse social good with Chris Albon, Director of Machine Learning at the Wikimedia Foundation.",Chris Albon,Learn & Teach,Course,"Coding,Python,Data Science for Good",English
Novel Coronavirus Dataset in Dolt: Case Details,https://www.dolthub.com/blog/2020-03-12-coronavirus-case-details-dolt/,"Dolt is a data science project of confirmed COVID-19 cases, deaths, and recoveries segmented by location and sourced from Johns Hopkins University.",DoltHub,Research & Practice,Dataset,"COVID,Public Health",English
NSF Coronavirus Information,https://www.nsf.gov/news/special_reports/coronavirus/,"The U.S. National Science Foundation plays a unique role in supporting the undergraduate, graduate students, postdocs, and early career faculty who represent the future of science, engineering, and STEM Education in the U.S. ",NSF,Research & Practice,Research Guide,"COVID,Public Health",English
NSF INCLUDES Aspire Alliance,https://www.aspirealliance.org/,The NSF INCLUDES Aspire Alliance works towards increasing the diversity of STEM faculty across the nation.  The Alliance engages a growing network of partners to support systemic change in the STEM higher education system. ,"Aspire Alliance,NSF",Network & Explore,"Career Resources,Accessibility Resources","Data Science Careers,Diversity,Accessibility & Data Science",English
Numeracy Infusion Course for Higher Education,https://serc.carleton.edu/NICHE/index.html,"Whether called numeracy, quantitative literacy (QL), or quantitative reasoning (QR), the infusion of quantitative materials throughout the curriculum is an imperative of higher education. This website is intended to provide a repository of resources and information for faculty from across the disciplines who are seeking to infuse numeracy into their course instruction.
",Carleton College,Learn & Teach,Curriculum,Quantitative Reasoning,English
NumPy Quickstart,https://numpy.org/devdocs/user/quickstart.html,This is a quick overview of arrays in NumPy.  You'll need to know a bit of Python.,NumPy,Learn & Teach,Tutorial,"Coding,Python",English
NumPy Tutorial,https://www.tutorialspoint.com/numpy/index.htm,"NumPy, which stands for Numerical Python, is a library consisting of multidimensional array objects and a collection of routines for processing those arrays. Using NumPy, mathematical and logical operations on arrays can be performed. This tutorial explains the basics of NumPy such as its architecture and environment. It also discusses the various array functions, types of indexing, etc. An introduction to Matplotlib is also provided. All this is explained with the help of examples for better understanding.",TutorialsPoint,Learn & Teach,Article or Journal,"Python,NumPy",English
NYC Open Data,https://opendata.cityofnewyork.us/,Explore free public data published by New York City agencies and other partners.,NYC Open Data,Research & Practice,Dataset,"Cities,Data Analysis",English
NYU Ability Project,https://wp.nyu.edu/ability/,An interdisciplinary research space dedicated to the intersection between disability and technology.,New York University,Network & Explore,"Group,Career Resources,Accessibility Resources","Diversity,Accessibility & Data Science,Data Science Careers",English
NYU COVID-19 Living Data Repository,https://docs.google.com/document/d/1JWeD1AaIGKMPry_EN8GjIqwX4J4KLQIAqP09exZ-ENI/edit#heading=h.qlakmcg3cp0b,This Living Repository is part of a call for action to build a responsible infrastructure for data-driven pandemic response. ,GovLab,Research & Practice,Dataset,"COVID,Public Health",English
NYU Spatial Data Repository,https://geo.nyu.edu/,Maps and spatial data hosted by NYU. ,New York University,Research & Practice,Dataset,"Data Analysis,Data Modeling,Data Science Basics",English
O'Reilly Data Show Podcast,https://www.oreilly.com/topics/oreilly-data-show-podcast,"The O’Reilly Data Show Podcast explores the opportunities and techniques driving big data, data science, and AI. ",O'Reilly Media,Network & Explore,Podcast,"Data Science Basics,Big Data,AI",English
Object-oriented programming for data scientists: Build your ML estimator,https://www.kdnuggets.com/2019/08/object-oriented-programming-data-scientists-estimator.html,"Implement some of the core OOP principles in a machine learning context by building your own Scikit-learn-like estimator, and making it better.
",Tirthajyoti Sarkar,Learn & Teach,Article or Journal,Python,English
OBO Academy,https://oboacademy.github.io/obook/,Use this resource to develop proficiency with OBOOK (Open Biological and Biomedical Ontologies Organized Knowledge) and join the OBOOK community.,Obook,Learn & Teach,Tutorial,"Bioinformatics,Public Health",English
Ocean Tracks Curriculum,http://oceantracks.org/curriculum,This curriculum guides students (high school and undergraduate levels) through an exploration of data using the Ocean Tracks interface. Students acquire critical scientific inquiry and data-analysis skills as they investigate the same questions as scientists looking at the movements of marine animals in the Pacific Ocean and their relationship to the ocean environment and human activities.,Ocean Tracks,Learn & Teach,"Curriculum,Dataset","Data Science Basics,Data Analysis,Climate Change & Environment",English
